2022-06-12 20:26:56,923 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 20:26:56,931 (INFO)	||| ETL finished!
2022-06-12 20:26:56,935 (INFO)	||| test finished!
2022-06-12 20:26:56,938 (INFO)	||| Initing extract of ETL to obtain BTC historical data in GBP value!
2022-06-12 20:26:57,877 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 20:26:57,880 (INFO)	||| ETL finished!
2022-06-12 20:26:57,881 (INFO)	||| test finished!
2022-06-12 20:28:18,772 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 20:28:20,024 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 20:28:20,027 (INFO)	||| ETL finished!
2022-06-12 20:28:37,239 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 20:28:38,317 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 20:28:38,325 (INFO)	||| ETL finished!
2022-06-12 20:28:55,031 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 20:28:55,913 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 20:28:55,920 (INFO)	||| ETL finished!
2022-06-12 21:02:51,304 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 21:02:52,406 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:02:52,409 (INFO)	||| ETL finished!
2022-06-12 21:03:30,778 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 21:03:31,686 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:03:31,707 (INFO)	||| ETL finished!
2022-06-12 21:05:01,469 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 21:05:02,672 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 21:05:02,676 (INFO)	||| ETL finished!
2022-06-12 21:05:02,676 (INFO)	||| test finished!
2022-06-12 21:05:02,677 (INFO)	||| Initing extract of ETL to obtain ETH historical data in USD value!
2022-06-12 21:05:04,150 (INFO)	||| Initing data transform of ETH historical data!
2022-06-12 21:05:04,167 (INFO)	||| ETL finished!
2022-06-12 21:05:04,169 (INFO)	||| test finished!
2022-06-12 21:05:04,173 (INFO)	||| Initing extract of ETL to obtain ADA historical data in USD value!
2022-06-12 21:05:05,733 (INFO)	||| Initing data transform of ADA historical data!
2022-06-12 21:05:05,739 (INFO)	||| ETL finished!
2022-06-12 21:05:05,740 (INFO)	||| test finished!
2022-06-12 21:05:05,741 (INFO)	||| Initing extract of ETL to obtain DOGE historical data in USD value!
2022-06-12 21:05:06,860 (INFO)	||| Initing data transform of DOGE historical data!
2022-06-12 21:05:06,866 (INFO)	||| ETL finished!
2022-06-12 21:05:06,867 (INFO)	||| test finished!
2022-06-12 21:05:06,869 (INFO)	||| Initing extract of ETL to obtain XRP historical data in USD value!
2022-06-12 21:05:07,447 (INFO)	||| Initing data transform of XRP historical data!
2022-06-12 21:05:07,454 (INFO)	||| ETL finished!
2022-06-12 21:05:07,455 (INFO)	||| test finished!
2022-06-12 21:05:15,915 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 21:05:16,613 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (1000 != 2)!
2022-06-12 21:05:16,614 (ERROR)	||| Extracting diferent quantity of columns from Alpha Vantage API than expected (11 != 1)!
